"city","name","data"
127,ATLANTICO-BARANOA,"{""city_code"": 78, ""city_name"": ""BARANOA"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
128,ATLANTICO-CAMPO DE LA CRUZ,"{""city_code"": 137, ""city_name"": ""CAMPO DE LA CRUZ"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
129,ATLANTICO-CANDELARIA,"{""city_code"": 141, ""city_name"": ""CANDELARIA"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
59,ANTIOQUIA-ITAGUI,"{""city_code"": 360, ""city_name"": ""ITAGUI"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
130,ATLANTICO-GALAPA,"{""city_code"": 296, ""city_name"": ""GALAPA"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
131,ATLANTICO-JUAN DE ACOSTA,"{""city_code"": 372, ""city_name"": ""JUAN DE ACOSTA"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
132,ATLANTICO-LURUACO,"{""city_code"": 421, ""city_name"": ""LURUACO"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
133,ATLANTICO-MALAMBO,"{""city_code"": 433, ""city_name"": ""MALAMBO"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
134,ATLANTICO-MANATI,"{""city_code"": 436, ""city_name"": ""MANATI"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
135,ATLANTICO-PALMAR DE VARELA,"{""city_code"": 520, ""city_name"": ""PALMAR DE VARELA"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
136,ATLANTICO-PIOJO,"{""city_code"": 549, ""city_name"": ""PIOJO"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
137,ATLANTICO-POLONUEVO,"{""city_code"": 558, ""city_name"": ""POLONUEVO"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
138,ATLANTICO-PONEDERA,"{""city_code"": 560, ""city_name"": ""PONEDERA"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
139,ATLANTICO-PUERTO COLOMBIA,"{""city_code"": 573, ""city_name"": ""PUERTO COLOMBIA"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
140,ATLANTICO-REPELON,"{""city_code"": 606, ""city_name"": ""REPELON"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
141,ATLANTICO-SABANAGRANDE,"{""city_code"": 634, ""city_name"": ""SABANAGRANDE"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
142,ATLANTICO-SABANALARGA,"{""city_code"": 638, ""city_name"": ""SABANALARGA"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
143,ATLANTICO-SANTA LUCIA,"{""city_code"": 675, ""city_name"": ""SANTA LUCIA"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
144,ATLANTICO-SANTO TOMAS,"{""city_code"": 685, ""city_name"": ""SANTO TOMAS"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
145,ATLANTICO-SOLEDAD,"{""city_code"": 758, ""city_name"": ""SOLEDAD"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
146,ATLANTICO-SUAN,"{""city_code"": 770, ""city_name"": ""SUAN"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
147,ATLANTICO-TUBARA,"{""city_code"": 832, ""city_name"": ""TUBARA"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
148,ATLANTICO-USIACURI,"{""city_code"": 849, ""city_name"": ""USIACURI"", ""department_code"": 8, ""department_name"": ""ATLANTICO""}"
152,BOLIVAR-ALTOS DEL ROSARIO,"{""city_code"": 30, ""city_name"": ""ALTOS DEL ROSARIO"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
153,BOLIVAR-ARENAL,"{""city_code"": 42, ""city_name"": ""ARENAL"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
154,BOLIVAR-ARJONA,"{""city_code"": 52, ""city_name"": ""ARJONA"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
155,BOLIVAR-ARROYOHONDO,"{""city_code"": 62, ""city_name"": ""ARROYOHONDO"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
156,BOLIVAR-BARRANCO DE LOBA,"{""city_code"": 74, ""city_name"": ""BARRANCO DE LOBA"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
157,BOLIVAR-CALAMAR,"{""city_code"": 140, ""city_name"": ""CALAMAR"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
158,BOLIVAR-CANTAGALLO,"{""city_code"": 160, ""city_name"": ""CANTAGALLO"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
159,BOLIVAR-CICUCO,"{""city_code"": 188, ""city_name"": ""CICUCO"", ""department_code"": 13, ""department_name"": ""BOLIVAR""}"
