optimization_variable,city,date,alpha,iteration,vt_labors,extra_time,dist
hybrid,126,2026-01-07,0.0,86,6,264.5,32.94
hybrid,126,2026-01-07,0.0,94,6,264.5,32.94
hybrid,126,2026-01-07,0.0,102,6,264.5,32.94
hybrid,126,2026-01-07,0.0,110,6,264.5,32.94
hybrid,126,2026-01-07,0.0,118,6,264.5,32.94
hybrid,126,2026-01-07,0.0,126,6,264.5,32.94
hybrid,126,2026-01-07,0.0,134,6,264.5,32.94
hybrid,126,2026-01-07,0.0,142,6,264.5,32.94
hybrid,126,2026-01-07,0.0,150,6,264.5,32.94
hybrid,150,2026-01-07,0.0,7,4,199.8,15.16
hybrid,150,2026-01-07,0.0,15,4,199.8,15.16
hybrid,150,2026-01-07,0.0,23,4,199.8,15.16
hybrid,150,2026-01-07,0.0,31,4,199.8,15.16
hybrid,150,2026-01-07,0.0,39,4,199.8,15.16
hybrid,150,2026-01-07,0.0,47,4,199.8,15.16
hybrid,150,2026-01-07,0.0,55,4,199.8,15.16
hybrid,150,2026-01-07,0.0,63,4,199.8,15.16
hybrid,150,2026-01-07,0.0,71,4,199.8,15.16
hybrid,150,2026-01-07,0.0,78,4,199.8,15.16
hybrid,150,2026-01-07,0.0,86,4,199.8,15.16
hybrid,150,2026-01-07,0.0,94,4,199.8,15.16
hybrid,150,2026-01-07,0.0,102,4,199.8,15.16
hybrid,150,2026-01-07,0.0,110,4,199.8,15.16
hybrid,150,2026-01-07,0.0,118,4,199.8,15.16
hybrid,150,2026-01-07,0.0,126,4,199.8,15.16
hybrid,150,2026-01-07,0.0,134,4,199.8,15.16
hybrid,150,2026-01-07,0.0,142,4,199.8,15.16
hybrid,150,2026-01-07,0.0,150,4,199.8,15.16
hybrid,844,2026-01-07,0.0,7,5,90.1,28.36
hybrid,844,2026-01-07,0.0,15,5,90.1,28.36
hybrid,844,2026-01-07,0.0,23,5,90.1,28.36
hybrid,844,2026-01-07,0.0,31,5,90.1,28.36
hybrid,844,2026-01-07,0.0,39,5,90.1,28.36
hybrid,844,2026-01-07,0.0,47,5,90.1,28.36
hybrid,844,2026-01-07,0.0,55,5,90.1,28.36
hybrid,844,2026-01-07,0.0,63,5,90.1,28.36
hybrid,844,2026-01-07,0.0,71,5,90.1,28.36
hybrid,844,2026-01-07,0.0,78,5,90.1,28.36
hybrid,844,2026-01-07,0.0,86,5,90.1,28.36
hybrid,844,2026-01-07,0.0,94,5,90.1,28.36
hybrid,844,2026-01-07,0.0,102,5,90.1,28.36
hybrid,844,2026-01-07,0.0,110,5,90.1,28.36
hybrid,844,2026-01-07,0.0,118,5,90.1,28.36
hybrid,844,2026-01-07,0.0,126,5,90.1,28.36
hybrid,844,2026-01-07,0.0,134,5,90.1,28.36
hybrid,844,2026-01-07,0.0,142,5,90.1,28.36
hybrid,844,2026-01-07,0.0,150,5,90.1,28.36
hybrid,830,2026-01-07,0.0,7,2,20.8,7.77
hybrid,830,2026-01-07,0.0,15,2,20.8,7.77
hybrid,830,2026-01-07,0.0,23,2,20.8,7.77
hybrid,830,2026-01-07,0.0,31,2,20.8,7.77
hybrid,830,2026-01-07,0.0,39,2,20.8,7.77
hybrid,830,2026-01-07,0.0,47,2,20.8,7.77
hybrid,830,2026-01-07,0.0,55,2,20.8,7.77
hybrid,830,2026-01-07,0.0,63,2,20.8,7.77
hybrid,830,2026-01-07,0.0,71,2,20.8,7.77
hybrid,830,2026-01-07,0.0,78,2,20.8,7.77
hybrid,830,2026-01-07,0.0,86,2,20.8,7.77
hybrid,830,2026-01-07,0.0,94,2,20.8,7.77
hybrid,830,2026-01-07,0.0,102,2,20.8,7.77
hybrid,830,2026-01-07,0.0,110,2,20.8,7.77
hybrid,830,2026-01-07,0.0,118,2,20.8,7.77
hybrid,830,2026-01-07,0.0,126,2,20.8,7.77
hybrid,830,2026-01-07,0.0,134,2,20.8,7.77
hybrid,830,2026-01-07,0.0,142,2,20.8,7.77
hybrid,830,2026-01-07,0.0,150,2,20.8,7.77
hybrid,1004,2026-01-07,0.0,52,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,105,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,157,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,210,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,263,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,315,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,368,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,421,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,473,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,526,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,578,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,631,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,684,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,736,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,789,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,842,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,894,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,947,28,549.0,84.65
hybrid,1004,2026-01-07,0.0,1000,28,549.0,84.65
hybrid,149,2026-01-08,0.0,68,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,136,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,205,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,273,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,342,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,410,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,478,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,547,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,615,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,684,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,752,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,821,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,889,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,957,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,1026,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,1094,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,1163,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,1231,67,1639.3,263.87
hybrid,149,2026-01-08,0.0,1300,67,1639.3,263.87
hybrid,1,2026-01-08,0.0,52,29,489.3,96.69
hybrid,1,2026-01-08,0.0,105,29,489.3,96.69
hybrid,1,2026-01-08,0.0,157,29,489.3,96.69
hybrid,1,2026-01-08,0.0,210,29,489.3,96.69
hybrid,1,2026-01-08,0.0,263,29,489.3,96.69
hybrid,1,2026-01-08,0.0,315,29,489.3,96.69
hybrid,1,2026-01-08,0.0,368,29,489.3,96.69
hybrid,1,2026-01-08,0.0,421,29,489.3,96.69
hybrid,1,2026-01-08,0.0,473,29,489.3,96.69
hybrid,1,2026-01-08,0.0,526,29,489.3,96.69
hybrid,1,2026-01-08,0.0,578,29,489.3,96.69
hybrid,1,2026-01-08,0.0,631,29,489.3,96.69
hybrid,1,2026-01-08,0.0,684,29,489.3,96.69
hybrid,1,2026-01-08,0.0,736,29,489.3,96.69
hybrid,1,2026-01-08,0.0,789,29,489.3,96.69
